id,name,order_id
1,[unassigned] Acochlidioidea,
2,[unassigned] Cephalaspidea,130
3,[unassigned] Cerithioidea,130
4,[unassigned] Neomphaloidea,458
5,[unassigned] Pyramidelloidea,458
6,[unassigned] Seguenzioidea,629
7,[unassigned] Solenogastres,629
8,[unassigned] Truncatelloidea,390
9,Abacionidae,109
10,Aberrantidae,109
11,Aberrapecidae,367
12,Abertellidae,164
13,Abrograptidae,300
14,Abronicidae,468
15,Abrsiidae,200
16,Abylidae,643
17,Abyssoanthidae,759
18,Abyssochitonidae,371
19,Abyssochrysidae,371
20,Abyssocottidae,626
21,Acanthaspidiidae,354
22,Acanthasteridae,749
23,Acanthephyridae,216
24,Acanthizidae,499
25,Acanthoaxiidae,16
26,Acanthoceramoporellidae,212
27,Acanthochaetetidae,162
28,Acanthocheilidae,596
29,Acanthochitidae,151
30,Acanthochitonidae,151
31,Acanthocladiidae,274
32,Acanthoclinidae,507
33,Acanthocollaritrematidae,530
34,Acanthocolpidae,530
35,Acanthocotylidae,309
36,Acanthodrilidae,182
37,Acanthogammaridae,23
38,Acanthogorgiidae,16
39,Acantholeberidae,32
40,Acanthomeniidae,32
41,Acanthonematidae,32
42,Acanthonotozomatidae,23
43,Acanthonotozomellidae,23
44,Acanthonychidae,216
45,Acanthopleuridae,151
46,Acanthostomidae,530
47,Acanthuridae,507
48,Acaridae,616
49,Acarnidae,552
50,Acartiidae,107
51,Acaulidae,35
52,Acavidae,690
53,Accacoeliidae,530
54,Accipitridae,272
55,Acestrorhynchidae,142
56,Acharacidae,648
57,Achatinellidae,690
58,Achatinidae,690
59,Acheliidae,497
60,Achipteriidae,616
61,Achiridae,544
62,Achiropsettidae,544
63,Acholadidae,597
64,Achramorphidae,380
65,Achromadoridae,157
66,Aciculidae,59
67,Acidopsidae,216
68,Acidopsidae,216
69,Acidostomatidae,23
70,Acipenseridae,6
71,Aclididae,390
72,Acmaeidae,390
73,Acmeidae,59
74,Acochlidiidae,59
75,Acoela incertae sedis,7
76,Acoetidae,526
77,Acoleidae,198
78,Acontiophoridae,8
79,Acoraniidae,145
80,Acostaeidae,748
81,Acratiidae,550
82,Acricoactinidae,8
83,Acrididae,489
84,Acrobothriidae,653
85,Acrochordidae,672
86,Acrocirridae,705
87,Acroloxidae,705
88,Acrolusiidae,705
89,Acropeltidae,52
90,Acrophytidae,16
91,Acropomatidae,507
92,Acroporidae,622
93,Acroreiidae,639
94,Acrosaleniidae,613
95,Acrosmiliidae,622
