id,name,family_id
1,[unassigned] Arbaciidae,556
2,[unassigned] Hemiasteridae,3253
3,[unassigned] Mitromorphidae,4469
4,[unassigned] Toxasteridae,7417
5,“Montereina”,2281
6,Aaadonta,2502
7,Aaata,4397
8,Aahithis,7262
9,Aaleniella,2642
10,Aapticheilichthys,5793
11,Aaptolasma,5148
12,Aaptos,7091
13,Aaptosyax,2005
14,Aarchaeocidaris,5174
15,Aaronia,4570
16,Aartsenia,6259
17,Aatolana,1568
18,Abacion,9
19,Abacola,4375
20,Abaconia,4035
21,Abactochromis,1554
22,Abakana,7452
23,Abakaniella,4638
24,Abalistes,798
25,Abantennarius,438
26,Abarbatia,579
27,Abarenicola,579
28,Abasia,1117
29,Abatetia,2310
30,Abathescalpellum,6565
31,Abathymermis,4338
32,Abatodesmus,2064
33,Abatus,6588
34,Abavopsis,5529
35,Abbadia,1602
36,Abbottella,406
37,Abbottina,2005
38,Abchasohela,3475
39,Abcichthys,7278
40,Abderos,299
41,Abderospira,212
42,Abdia,5877
43,Abdiacyclops,1953
44,Abditacythere,2029
45,Abditoconus,7838
46,Abditoloculina,7838
47,Abditoporella,3376
48,Abdomenopora,1838
49,Abdopus,4888
50,Abebaioscia,5541
51,Abelbolla,2493
52,Abelleicidaris,1557
53,Abeona,2479
54,Aberdaria,7043
55,Abergasilus,2581
56,Aberomysis,4616
57,Aberranta,10
58,Aberrantidrilus,4639
59,Aberrapex,11
60,Aberratylus,726
61,Aberroconcha,726
62,Aberrodomus,918
63,Abertella,12
64,Abeskunus,4029
65,Abida,1515
66,Abietinaria,6724
67,Abietinella,7901
68,Abila,6320
69,Abisa,6182
70,Ablabesmyia,1488
71,Ablabys,7278
72,Ablenes,882
73,Ablennes,882
74,Ablepharus,6610
75,Abludogammarus,4946
76,Abludomelita,4316
77,Abnitocrella,283
78,Aboilia,283
79,Aboma,3013
80,Aborichthys,4687
81,Aborjinia,4229
82,Aborolobatea,4910
83,Abortipedia,6039
84,Abortivelum,3403
85,Abos,892
86,Abosagitta,6507
87,Abothrium,7466
88,Abothros,7223
89,Abra,6687
90,Abralia,2514
91,Abraliopsis,2514
92,Abramis,2005
93,Abramites,427
94,Abrancha,427
95,Abranchaea,5779
96,Abranches,3013
97,Abranchus,5647
98,Abranchus,5647
99,Abranda,7203
100,Abretia,7235
101,Abretiella,7235
102,Abrina,6687
103,Abrobairdia,786
104,Abrocythereis,7430
105,Abronica,14
106,Abroscelis,1224
107,Abrotanais,353
108,Abrote,938
109,Abrsia,15
110,Abryois,7005
111,Absalom,1228
112,Abscondicola,283
113,Absina,6281
114,Absonifibula,2184
115,Absonocytheropteron,2034
116,Absurdaster,1692
117,Absurdodesmus,5830
118,Abudefduf,5861
119,Abudefdus,5861
120,Abunema,7536
121,Abursus,7536
122,Abyla,16
123,Abylopsis,16
124,Abylopsoides,16
125,Abyssameira,595
126,Abyssaranea,3184
127,Abyssarcturella,753
128,Abyssarcturus,436
129,Abyssarya,5840
130,Abyssascidia,1761
131,Abyssaster,5886
132,Abyssianira,5284
133,Abyssicaprella,1214
134,Abyssicola,4170
135,Abyssidrilus,4639
136,Abyssijaera,3675
137,Abyssinoe,4103
138,Abyssiscala,2571
139,Abyssoaclis,2657
140,Abyssoanthus,17
141,Abyssobairdia,785
142,Abyssobela,6318
143,Abyssoberyx,6992
144,Abyssobrotula,4994
145,Abyssobythere,1095
146,Abyssocapitella,1211
147,Abyssochiton,18
148,Abyssochrysos,19
149,Abyssocladia,1585
150,Abyssoclymene,4199
151,Abyssocomitas,6121
152,Abyssocottus,20
153,Abyssocucumis,1910
154,Abyssocypris,5873
155,Abyssocythere,7430
156,Abyssocythereis,7430
157,Abyssododecas,1214
158,Abyssoecia,4966
159,Abyssogammarus,2658
160,Abyssogena,7745
161,Abyssogyra,6
162,Abyssoherpia,2354
163,Abyssoleucon,3939
164,Abyssomelania,3398
165,Abyssonemertes,3398
166,Abyssoninoe,4103
167,Abyssoniscus,3185
168,Abyssopathes,6595
169,Abyssopedunculus,4986
170,Abyssophilos,7430
171,Abyssopontius,628
172,Abyssoprimnoa,5938
173,Abyssorchomene,7675
174,Abyssorhynchia,2838
175,Abyssotaurus,6717
176,Abyssothauma,6318
177,Abyssotheres,5639
178,Abyssothyris,2381
179,Abyssotrema,2777
180,Abyssotrophon,4570
181,Abyssura,4570
182,Abythites,1092
183,Acabaria,4315
184,Acaenodera,34
185,Acaenomolgus,6494
186,Acaenosquilla,7281
187,Acaeroplastes,5890
188,Acakandra,1619
189,Acalia,4993
190,Acalle,4370
191,Acallocheirus,5319
192,Acalycigorgia,38
193,Acalyptophis,2450
194,Acalyptus,2450
195,Acamarchis,1067
196,Acamas,4586
197,Acamasina,4586
198,Acamptochetus,1700
199,Acamptodaphne,6318
200,Acamptogenotia,7650
201,Acamptogorgia,5285
202,Acandela,1194
203,Acandona,1197
204,Acanella,3602
205,Acanomyphoria,4607
206,Acanthacaris,4755
207,Acanthacarnus,49
208,Acanthacis,5756
209,Acanthais,4570
210,Acanthalburnus,2005
211,Acanthaluteres,4496
212,Acanthammothella,294
213,Acanthamunnopsis,4562
214,Acanthanas,259
215,Acanthancora,3478
216,Acanthanectes,7535
