id,name,class_id
1,[unassigned] Decapodiformes,24
2,[unassigned] Enteropneusta,46
3,[unassigned] Euheterodonta,15
4,[unassigned] Neritimorpha,52
5,Accipitriformes,14
6,Acipenseriformes,1
7,Acoela,1
8,Actiniaria,7
9,Actinodontida,15
10,Actinulida,67
11,Adapedonta,15
12,Afghanodesmatida,15
13,Agelasida,39
14,Akentrogonida,60
15,Albuliformes,1
16,Alcyonacea,7
17,Amiiformes,1
18,Amphidiscosida,59
19,Amphilepidida,94
20,Amphilinidea,25
21,Amphinomida,107
22,Amphionidacea,78
23,Amphipoda,78
24,Anaspidacea,78
25,Anaspidea,52
26,Ancorinida,39
27,Andreinidea,60
28,Anguilliformes,1
29,Anguilluloidea,126
30,Anisopoda,78
31,Anomalodesmacea,15
32,Anomopoda,16
33,Anostraca,16
34,Anseriformes,14
35,Anthoathecata,67
36,Anthoathecatae,67
37,Anthomedusae,67
38,Antipatharia,7
39,Anura,4
40,Aphelenchida,27
41,Aphragmophora,119
42,Aplousobranchia,12
43,Aplysiida,52
44,Aplysiomorpha,52
45,Apochela,50
46,Apoda,63
47,Apodida,63
48,Apodiformes,14
49,Apygophora,60
50,Araeolaimida,27
51,Araneae,10
52,Arbacioida,42
53,Archaeocopida,42
54,Archaeogastropoda,52
55,Archaeognatha,69
56,Archaeopulmonata,52
57,Archaeostraca,78
58,Archiannelida,107
59,Architaenioglossa,52
60,Architectibranchia,52
61,Arcida,15
62,Argentiniformes,1
63,Arguloida,68
64,Arhynchobdellida,29
65,Arthrochirota,63
66,Arthrochirotida,63
67,Arthrotardigrada,58
68,Artiodactyla,79
69,Ascaridida,27
70,Asconosa,18
71,Aspidochirota,63
72,Aspidochirotida,63
73,Aspidodiadematoida,42
74,Aspidogastrida,138
75,Aspidosiphonida,103
76,Aspiraculata,131
77,Astrophorida,39
78,Ateleopodiformes,1
79,Athecanephria,51
80,Athecata,67
81,Atheriniformes,1
82,Atherinomorpha,1
83,Aulocalycoida,59
84,Aulopiformes,1
85,Auloporida,7
86,Axinellida,39
87,Azygiida,138
88,Baerida,18
89,Bathynellacea,78
90,Batrachoidiformes,1
91,Beloniformes,1
92,Benthimermithida,91
93,Beroida,93
94,Beryciformes,1
95,Biemnida,39
96,Bivalvulida,89
97,Blattodea,69
98,Bochusacea,78
99,Bothriocephalidea,25
100,Bothrioplanida,25
101,Bourgueticrinida,36
102,Brachypoda,23
103,Brisingida,13
104,Bubarida,39
105,Bullomorpha,52
106,Bursovaginoidea,52
107,Calanoida,60
108,Caligoida,60
109,Callipodida,40
110,Camarodonta,42
111,Camaroidea,56
112,Cambojiida,136
113,Canadaspidida,78
114,Canuelloida,60
115,Capilloventrida,29
116,Capitellida,107
117,Caprimulgiformes,14
118,Capsalidea,85
119,Carcharhiniformes,43
120,Cardiida,15
121,Carditida,15
122,Carnivora,79
123,Carnosa,110
124,Carybdeida,38
125,Caryophyllidea,25
126,Cassiduloida,42
127,Cathetocephalidea,25
128,Caudata,4
129,Cavibelonia,130
130,Cephalaspidea,52
131,Cephalobaenida,68
132,Cephalobaeniformis,68
133,Cephalodiscoidea,56
134,Ceratodontiformes,41
135,Ceratoporellida,39
136,Cestida,136
137,Cetartiodactyla,79
138,Cetomimiformes,1
139,Chaetodermatida,21
140,Chaetonotida,21
141,Chaetonotoidea,21
142,Characiformes,1
143,Charadriiformes,14
144,Cheilostomata,57
145,Cheilostomatida,57
146,Chelodida,108
147,Chimaericolidea,85
148,Chimaeriformes,61
149,Chirodropida,38
150,Chiroptera,79
151,Chitonida,108
152,Chondrillida,39
153,Chondrosida,39
154,Chondrosiida,39
155,Chordeumatida,40
156,Choristida,39
157,Chromadorida,27
158,Ciconiiformes,14
159,Cidaroida,42
160,Cladocera incertae sedis,16
161,Clathrinida,18
162,Clionaida,39
163,Clupeiformes,1
164,Clypeasteroida,42
165,Cocculinida,52
166,Coelacanthiformes,31
167,Coleoptera,69
168,Collothecaceae,49
169,Coloniales,49
170,Colpomyida,15
171,Columbiformes,14
172,Comatulida,36
173,Conulatae,132
174,Copelata,9
175,Coraciiformes,14
176,Corallimorpharia,7
177,Coralliomorpharia,7
178,Coronatae,125
179,Cossurida,107
180,Craniellida,39
181,Craniida,34
182,Crassiclitellata,29
183,Crocodylia,115
184,Crustoidea,56
185,Cryptolobiferida,136
186,Cryptophialida,60
187,Cryptostomida,134
188,Ctenopoda,16
189,Ctenostomata,57
190,Ctenostomatida,57
191,Cubomedusae,57
192,Cuculiformes,14
193,Cumacea,78
194,Cyclestherida,16
195,Cyclomyaria,137
196,Cycloneritida,52
197,Cycloneritimorpha,52
198,Cyclophyllidea,25
199,Cyclopidea,60
200,Cyclopoida,60
201,Cyclorhagida,70
202,Cyclostomata,134
203,Cyclostomatida,134
204,Cydippida,136
205,Cyprilepadiformes,60
206,Cypriniformes,1
207,Cyprinodontiformes,1
208,Cyrtocrinida,36
209,Cyrtodontida,15
210,Cyrtoneritida,52
211,Cyrtoneritimorpha,52
212,Cystoporida,134
213,Dactylochirotida,63
214,Dactylogyrida,85
215,Dactylogyridea,85
216,Decapoda,78
217,Demospongiae incertae sedis,39
218,Dendroceratida,39
219,Dendrochirota,63
220,Dendrochirotida,63
221,Dendrogastrida,60
222,Dendroidea,55
223,Dentaliida,121
224,Dermaptera,69
225,Desmacellida,39
226,Desmacidonitida,39
227,Desmodorida,27
228,Desmomyaria,137
229,Desmoscolecida,27
230,Diadematoida,42
231,Diclybothriidea,85
232,Dictyoceratida,39
233,Digenea incertae sedis,138
234,Dioctophymatida,45
235,Diphyllidea,25
236,Diphyllobothriidea,25
237,Diplogasterida,27
238,Diplostomida,138
239,Diptera,69
240,Disasteroida,42
241,Dithecoidea,56
242,Dolichomicrostomida,56
243,Doliolida,137
244,Dorylaimida,45
245,Echiniscoidea,58
246,Echinoida,42
247,Echinolampadoida,42
248,Echinoneoida,42
249,Echinorhynchida,97
250,Echinostomida,138
251,Echinothurioida,42
252,Echinothuroida,42
253,Echiura incertae sedis,107
254,Echiuroidea,107
255,Elasipodida,63
256,Ellobiida,52
257,Elopiformes,1
258,Enantiopoda,114
259,Enchytraeida,29
260,Encrinida,36
261,Enoplida,45
262,Enterogona,12
263,Ephemeroptera,69
264,Esociformes,1
265,Esthonioporata,134
266,Eucestoda incertae sedis,25
267,Euclasteroidea,13
268,Eunicida,107
269,Euphausiacea,78
270,Euryalae,94
271,Euryalida,94
272,Falconiformes,14
273,Fecampiida,14
274,Fenestrida,134
275,Fieldingida,59
276,Filospermoidea,59
277,Flosculariaceae,49
278,Forcipulatida,13
279,Fordillida,15
280,Gadiformes,1
281,Gadilida,121
282,Galeommatida,15
283,Galeropygoida,42
284,Galliformes,14
285,Ganeshida,136
286,Gasterosteiformes,1
287,Gastrochaenida,15
288,Gastrotricha incertae sedis,15
289,Gaviiformes,14
290,Gelyelloida,60
291,Geophilomorpha,26
292,Glomerida,40
293,Glomeridesmida,40
294,Gnatophiurida,94
295,Gnosonesimida,
296,Gobiesociformes,1
297,Golfingiida,129
298,Gonorhynchiformes,1
299,Gorgonacea,7
300,Graptoloidea,55
301,Gruiformes,14
302,Gummineae,39
303,Gymnoblastea,67
304,Gymnomera,16
305,Gymnomorpha,52
306,Gymnotiformes,1
307,Gyracanthocephala,47
308,Gyrocotylidea,25
309,Gyrodactylidea,85
310,Hadromerida,39
311,Halichondrida,39
312,Halicryptomorpha,111
313,Halisarcida,39
314,Halocyprida,96
315,Haplobothriidea,25
316,Haplopharyngida,25
317,Haplopoda,16
318,Haplosclerida,39
319,Haplotaxida,29
320,Harpacticoida,60
321,Helioporacea,7
322,Hemiptera,69
323,Herpyllobioida,60
324,Heterocyemida,116
325,Heterodontiformes,43
326,Heteronemertea,105
327,Heteroscleromorpha incertae sedis,39
328,Heterostropha,52
329,Hexactinosa,59
330,Hexactinosida,59
331,Hexamerocerata,100
